category,item_url,item_title,is_bundle,estimated_pattern_count,formats_available,has_ai_instructions_flag,notes
Infographics general bundles,https://app.envato.com/search/graphic-templates/0a3131fd-2775-438c-9fcc-212956c6d51f,Infographics Bundle,yes,5,"AI, EPS, PDF",no,Modern Infographics bundle template Features 4 premium infographics template Editable in adobe illus
Infographics general bundles,https://app.envato.com/search/graphic-templates/d5617769-b68e-46fa-98e2-9dcbb5c1df1f,Bundle 3-7 Circular Pie Chart Diagram Infographic,yes,5,"AI, EPS, JPG, PNG",no,Bundle 3-7 Circular Pie Chart Diagram Infographic Modern & Simple Infographic Template vector illust
Infographics general bundles,https://app.envato.com/search/graphic-templates/57df3a69-de80-4dfd-a8fb-367759e2b16e,Creative Infographics Bundle,yes,5,"AI, EPS, PDF, JPG, PNG, SVG",no,Creative Infographics Bundle Features 4 premium business infographics template Fully Editable Creati
Infographics general bundles,https://app.envato.com/search/graphic-templates/ae21fe58-cf3a-477f-83eb-e272689266cb,Bundle Mockup,yes,5,"PSD, JPG, PDF",no,Bundle Mockup Elevate your design presentation with this premium Mockup. Perfectly crafted to showca
Infographics general bundles,https://app.envato.com/search/graphic-templates/0e7648e6-2fb9-46b9-9a01-26921166339f,Infographic Elements,no,1,"AI, EPS, JPG, PDF, SVG",no,"Infographics Elements Files Include : 01 AI : Illustrator cs, Illustrator cs5, Illustrator 10 02 EPS"
Infographics general bundles,https://app.envato.com/search/graphic-templates/c1f687e7-fcbf-4ef6-b356-910d3e23ef53,Infographic Elements,yes,5,"AI, EPS, JPG, PNG, PDF, SVG",no,"Collection infographic elements data visualization vector design template. Can be used for steps, bu"
Infographics general bundles,https://app.envato.com/search/graphic-templates/098f82f2-affe-4356-94be-bbb94f6fb3a0,Infograf Infographic Element,yes,5,"AI, EPS, PNG, SVG",no,Infograf Infographic Template This is a set of infographic elements to your infograph presentation. 
Infographics general bundles,https://app.envato.com/search/graphic-templates/1f98e4fa-8714-44cd-9194-d508df53cb34,MegaPack Infographic Set 2,yes,240,PSD,no,"Total 2400 elements, 240 Unique elements, 10 color Font FREE: Roboto – download link in Help_file.pd"
Infographics general bundles,https://app.envato.com/search/graphic-templates/c1ab4d32-2f7b-4baa-9403-f38fd1ffc8eb,Cycle Vector Infographic Diagram Templates,no,1,"AI, EPS, JPG",no,A professional business infographic showcasing a modern circular diagram layout on a white backgroun
Infographics general bundles,https://app.envato.com/search/graphic-templates/879037b7-4a61-47bf-b8a8-af4ea712a712,Diagram Infographics,yes,5,"AI, EPS, JPG, PNG",no,"Set of 3d business diagram infographics vector design template. Can be used for workflow processes, "
Infographics general bundles,https://app.envato.com/search/graphic-templates/2f7a7e4d-0802-4a3e-b507-462f50bae8d7,Diagrams & Infographics,no,1,PSD,no,
Infographics general bundles,https://app.envato.com/search/graphic-templates/9308e852-fc6a-4018-a0bb-4c4bd255f038,Diagram Infographics,no,1,"AI, EPS, JPG, PNG",no,20 Diagram Infographics This illustration contains high quality vector illustration with text can be
Infographics general bundles,https://app.envato.com/search/graphic-templates/d5206368-8a8a-49ad-b13a-006bce70b257,vector set of infographics for dashboard,yes,5,"AI, EPS, JPG",no,"vector set of infographics for dashboard Zip folder included AI, EPS vector, infographics, set, info"
Infographics general bundles,https://app.envato.com/search/graphic-templates/fe397839-48fa-4bb9-baa1-be739565e20a,Infographic Set,yes,5,"AI, EPS, JPG, PDF",no,"Infographics Set Design Files Include: AI – 2 AI Files for Illustrator CS, Illustrator CS5 EPS – 2 E"
Infographics general bundles,https://app.envato.com/search/graphic-templates/c172098f-ee37-4598-a05a-42c799ec65f0,Vector Infographics Template,yes,5,"AI, EPS, JPG, PNG",no,"Infographic business data visualization vector design template. Can be used for steps, options, part"
Infographics general bundles,https://app.envato.com/search/graphic-templates/6178286f-08c9-458d-b4fb-8ec2022e8a5a,Vector Elements of Infographics,yes,5,"AI, EPS, JPG",no,"Big set of infographic elements. Can be used for steps, business processes, workflow, diagram, flowc"
Hierarchy progression,https://app.envato.com/search/graphic-templates/7c0ade21-88cd-42bd-b25e-c0644fd22036,Pricing Comparison Chart with Four Tier Plans,no,1,"JPG, PSD, XD",no,Pricing comparison interface with four plan tiers arranged horizontally. Purple gradient background 
Hierarchy progression,https://app.envato.com/search/graphic-templates/9dd8e4f5-8324-44c3-9e0e-c3bfd16de3ea,Pricing Table Infographic,no,10,"AI, EPS",no,Pricing Table Infographic Introducing the Pricing Table Infographic - Transform your information int
